FD,convexity,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,label
1.2745,0.9533875348,0.3183098862,0.0009433183,0.0002436158,0.0027636559,0.001901012,0.0027639004,0.0002022547,0.0043066677,0.006104043,0.0028855009,0.0041819158,0.0044056977,0.0001409589,0.0053635971,0.0086317876,0.0084366715,0.0039049582,0.005633032,0.0059742071,0.0059468623,0.0008960531,0.0056793489,0.0112063415,0.0093384456,0.0060446724,0
1.2627,0.9156798305,0.3183098862,0.0013996758,0.0031239581,0.0016848893,0.0027835623,0.0047874613,0.0051803798,0.0028762862,0.001554155,0.004141157,0.007491748,0.004456758,0.0071891842,0.0041763829,0.0020205135,0.0029866138,0.0054686472,0.0105173604,0.0062381485,0.0065270194,0.0091154534,0.0056419543,0.0023499151,0.0043914387,0.0014169894,0
1.249,0.9551053995,0.3183098862,0.0011557027,0.0009600917,0.0028754488,0.0023831596,0.0032824806,0.0014794295,0.0045357145,0.0019509684,0.0037571206,0.0050214421,0.0059214711,0.0018059121,0.0057826619,0.0026789364,0.0053740502,0.0053503151,0.0068313386,0.0080837861,0.0052130225,0.0018434114,0.0064015307,0.0033773461,0.0063156996,0.0061967164,0
1.2171,0.8814836566,0.3183098862,0.0013025616,0.0017559518,0.0019897532,0.0027307868,0.003498466,0.0029157,0.0033450938,0.0009601245,0.0043973735,0.0055128649,0.0039233702,0.0040633483,0.0047389953,0.001235585,0.0023940712,0.0063836359,0.0077832397,0.0054670636,0.0056752349,0.0052002905,0.0061782051,0.001387597,0.0035024779,0.0039427589,0
1.2369,0.8677804811,0.3183098862,0.0014596136,0.0009694771,0.0015853516,0.0029974692,0.0008793189,0.0012644106,0.0025917412,0.0041342066,0.0046760169,0.0012239429,0.0008316317,0.0010060997,0.0035201084,0.0054764535,0.0025157026,0.0065240253,0.0015087265,0.0011043833,0.0045665633,6.86521392634607E-05,0.0043362861,0.0064279782,0.0033287883,0.0022038559,0
1.2133,0.9107820315,0.3183098862,0.0007711847,0.0002637001,0.0028335787,0.0015282109,0.0038412888,0.0002981745,0.0044571294,0.0021932604,0.0022811504,0.005817009,0.0049754059,0.0001090762,0.0056581564,0.0028682544,0.0079675107,0.0030823887,0.0078070952,0.0067548343,0.0048971233,0.0004114927,0.0062337664,0.0033013756,0.0093661555,0.0089418402,0
1.1999,0.9200922608,0.3183098862,0.0004599368,0.0003669536,0.0030784025,0.0010331242,0.0033343987,0.0005537722,0.005231199,0.0007209599,0.0018175213,0.0053330605,0.0051185105,0.0006526039,0.0075225694,0.0010001206,0.0012593022,0.0028745048,0.0076641316,0.007087368,0.0062291815,0.0006251183,0.0099811722,0.00126505,0.0010748031,0.0033904384,0
1.3304,0.8830748562,0.3183098862,0.0012989992,0.0017578886,0.0026690393,0.0026906926,0.0036151306,0.0029247059,0.004398233,0.0021471788,0.0042596022,0.0056629085,0.0046683914,0.0040857257,0.0060468268,0.0029389288,0.0034965873,0.0060671632,0.0079422852,0.0064614938,0.0076658721,0.0052402026,0.0075788068,0.0036543765,0.0050737251,0.0042857488,0
1.2157,0.8912412423,0.3183098862,0.0012129875,0.0016495045,0.0021861985,0.0025020541,4.35334396227983E-05,0.0023734105,0.0035908673,0.0032758987,0.0039275784,0.0002484921,0.0016115992,0.0025061599,0.0049140465,0.004267886,0.00151662,0.0055167562,0.000656223,0.0019282676,0.0027251966,0.0017670947,0.0061195267,0.0048579814,0.0020328663,0.0004099552,0
1.2311,0.8988109101,0.3183098862,0.0015835395,0.0003419687,0.0011098553,0.0032205831,0.001568586,0.0004241712,0.0017009321,0.0030517524,0.0049444576,0.0026532654,0.0013090647,0.000271692,0.0020765807,0.0040514564,0.0047733267,0.0067454533,0.0040850695,0.0021087419,0.0058358229,0.0002358376,0.0021797935,0.0048228603,0.0064440371,0.0088859588,0
1.1249,0.9083489333,0.3183098862,0.0008075674,0.00036903,0.0030784868,0.001711489,0.0033302651,0.0005645263,0.0052262721,0.0007154306,0.0028022581,0.0053149886,0.0051170354,0.0006841937,0.0075051805,0.0009677159,0.0012716255,0.0041460973,0.0076176589,0.0070862001,0.0062258485,0.0006966734,0.009941314,0.001178632,0.001099268,0.0034095651,0
1.0815,0.9423666597,0.3183098862,0.0022888528,0.001051239,0.0026790627,0.0046461255,0.0003249401,0.0019445585,0.0043502453,0.0049854155,0.0071198183,0.0006597593,0.0022402024,0.003144622,0.0058370046,0.0066938384,0.0048281587,0.009715068,0.0011940333,0.0028001353,0.006757138,0.0048029128,0.0070456337,0.0080533134,0.0063891249,0.0041300911,0
1.1174,0.9309228698,0.3183098862,0.0012644353,0.0004490931,0.0033407587,0.0025458091,0.0018629912,0.0009641579,0.0052869851,0.0059861856,0.0038591594,0.0028144268,0.0056168554,0.0017996182,0.006778287,0.0084114681,0.00766809,0.0052149261,0.003776555,0.0075750913,0.0073520229,0.0030741524,0.0075810003,0.0108276664,0.0085281723,0.0040760791,0
1.2178,0.9156060998,0.3183098862,0.0010695137,0.0017899252,0.0013427216,0.0021771224,0.0013249024,0.003081726,0.0020905882,0.0034604518,0.0033477979,0.0020673143,0.0048090961,0.004512333,0.0026394326,0.0050834445,0.0071630583,0.0045787744,0.0029179039,0.0069603338,0.0083809758,0.0061182418,0.0030232954,0.0069456192,0.0081866208,0.0057896558,0
